wkt_geom,freewayNO,dir,Old_id,ID,catch,s_catch,start,end,lat,lon,cwb_gauge
"LineString (121.25083899999999915 24.87879200000000068, 121.26510817152978916 24.88293618372619065)",國3,S,03F-064.8S,03F0648S,5.5,6.6,大溪(連接台66),龍潭,24.878792,121.250839,C0C630
"LineString (121.20858099999999524 24.85655799999999971, 121.22140627034285387 24.87003839312516718)",國3,S,03F-069.8S,03F0698S,7.9,9.4,龍潭,關西服務區,24.856558,121.208581,C0C670
"LineString (121.17912800000000573 24.79733900000000091, 121.17390040006969798 24.79833992461407277)",國3,S,03F-078.3S,03F0783S,3,3.6,關西服務區,關西,24.797339,121.179128,C0D390
"LineString (121.12599699999999814 24.79143900000000045, 121.11889697802260457 24.76654245810562216)",國3,S,03F-084.6S,03F0846S,11.1,13.3,關西,竹林,24.791439,121.125997,C1D630
"LineString (121.03042499999999393 24.75844199999999873, 121.02499261373654349 24.73494711379798616)",國3,S,03F-096.1S,03F0961S,8.5,10.2,竹林,寶山,24.758442,121.030425,C0D580
"LineString (120.99726900000000285 24.75581100000000134, 121.02499261373654349 24.73494711379798616)",國3,S,03F-099.6S,03F0996S,1.9,2.2,寶山,新竹系統(連接國1),24.755811,120.997269,C0D580
"LineString (120.97226700000000221 24.75791399999999953, 120.96739109882717855 24.73345023795540953)",國3,S,03F-102.2S,03F1022S,3.2,3.8,新竹系統(連接國1),茄苳,24.757914,120.972267,O1D570
"LineString (120.94567499999999427 24.75309400000000082, 120.96739109882717855 24.73345023795540953)",國3,S,03F-105.1S,03F1051S,5.3,6.3,茄苳,香山,24.753094,120.945675,O1D570
"LineString (120.88963900000000251 24.71138300000000143, 120.88898756061138329 24.70905414215697604)",國3,S,03F-112.8S,03F1128S,5.6,6.7,香山,西濱(連接台61),24.711383,120.889639,C0E420
"LineString (120.86008599999999547 24.69800599999999946, 120.88898756061138329 24.70905414215697604)",國3,S,03F-116.1S,03F1161S,3.7,4.4,西濱(連接台61),竹南,24.698006,120.860086,C0E420
"LineString (120.83824199999999394 24.65596400000000088, 120.82078104397325546 24.63525671250312854)",國3,S,03F-121.5S,03F1215S,5.4,6.4,竹南,大山,24.655964,120.838242,01E390
"LineString (120.81400600000000622 24.62716100000000097, 120.82078104397325546 24.63525671250312854)",國3,S,03F-125.7S,03F1257S,5.7,6.8,大山,後龍,24.627161,120.814006,01E390
"LineString (120.76441699999999457 24.57964199999999977, 120.74847451154839462 24.56265950842051993)",國3,S,03F-133.2S,03F1332S,4.7,5.6,後龍,西湖服務區,24.579642,120.764417,C0E810
"LineString (120.73325300000000482 24.5311249999999994, 120.74847451154839462 24.56265950842051993)",國3,S,03F-139.5S,03F1395S,9.4,11.2,西湖服務區,通霄,24.531125,120.733253,C0E810
"LineString (120.68121700000000374 24.46730799999999917, 120.70456753055188415 24.47186046727976461)",國3,S,03F-148.5S,03F1485S,12.5,15,通霄,苑裡,24.467308,120.681217,C0E590
"LineString (120.65156700000000001 24.34111899999999906, 120.64055795487675482 24.3481619866046195)",國3,S,03F-163.3S,03F1633S,7.5,9,苑裡,大甲,24.341119,120.651567,C0F930
"LineString (120.63557799999999531 24.33471899999999977, 120.64055795487675482 24.3481619866046195)",國3,S,03F-165.1S,03F1651S,4.7,5.6,大甲,中港系統(連接國4),24.334719,120.635578,C0F930
"LineString (120.60196399999999528 24.29288100000000128, 120.56225366049646652 24.31226563163646404)",國3,S,03F-171.0S,03F1710S,3.5,4.2,中港系統(連接國4),清水服務區,24.292881,120.601964,C0F9P0
"LineString (120.59080600000000061 24.26946399999999926, 120.56225366049646652 24.31226563163646404)",國3,S,03F-173.9S,03F1739S,3.7,4.4,清水服務區,沙鹿,24.269464,120.590806,C0F9P0
"LineString (120.59330599999999833 24.23464699999999894, 120.62434906437771076 24.21536078994752827)",國3,S,03F-177.9S,03F1779S,6.7,8,沙鹿,龍井,24.234647,120.593306,C0F9X0
"LineString (120.54824399999999684 24.17783100000000118, 120.52894467114816734 24.18456541051860142)",國3,S,03F-186.0S,03F1860S,8.8,10.5,龍井,和美,24.177831,120.548244,C0F9R0
"LineString (120.53669200000000217 24.11901100000000042, 120.55663884649709416 24.08136232590750581)",國3,S,03F-194.4S,03F1944S,5.1,6.1,和美,彰化系統(連接國1),24.119011,120.536692,A0G720
"LineString (120.5776610000000062 24.10280799999999957, 120.55663884649709416 24.08136232590750581)",國3,S,03F-199.1S,03F1991S,5.4,6.4,彰化系統(連接國1),快官(連接台74),24.102808,120.577661,A0G720
"LineString (120.63971100000000547 24.07033300000000153, 120.62404218764960717 24.10705913377877962)",國3,S,03F-206.6S,03F2066S,5.2,6.2,快官(連接台74),烏日,24.070333,120.639711,C0F9S0
"LineString (120.65236099999999908 24.06777800000000056, 120.62404218764960717 24.10705913377877962)",國3,S,03F-207.9S,03F2079S,1.8,2.1,烏日,中投(連接台63),24.067778,120.652361,C0F9S0
"LineString (120.6709639999999979 24.06065299999999851, 120.70034320771581804 24.0926548489598531)",國3,S,03F-210.0S,03F2100S,2.3,2.7,中投(連接台63),霧峰(台3線、太平-台74),24.060653,120.670964,C0F9N0
"LineString (120.67577500000000157 24.03739200000000054, 120.72444019192120379 24.03525269702029021)",國3,S,03F-212.9S,03F2129S,2.9,3.4,霧峰(台3線、太平-台74),霧峰系統(連接國6),24.037392,120.675775,81F900
"LineString (120.66322200000000464 24.01999199999999846, 120.62123633835759051 24.01545787803982535)",國3,S,03F-215.2S,03F2152S,3,3.6,霧峰系統(連接國6),草屯,24.019992,120.663222,C0G620
"LineString (120.65271400000000313 23.98584400000000016, 120.67893510230949516 23.97255416480209433)",國3,S,03F-219.4S,03F2194S,5.6,6.7,草屯,中興系統(台76-八卦山隧道),23.985844,120.652714,01H630
"LineString (120.66126699999999516 23.95550300000000021, 120.67893510230949516 23.97255416480209433)",國3,S,03F-223.5S,03F2235S,1.8,2.1,中興系統(台76-八卦山隧道),中興,23.955503,120.661267,01H630
"LineString (120.67703899999999351 23.93759999999999977, 120.69543158196104571 23.90975234478779043)",國3,S,03F-226.1S,03F2261S,3.8,4.5,中興,南投,23.9376,120.677039,C0I460
"LineString (120.70282799999999668 23.90678099999999873, 120.69543158196104571 23.90975234478779043)",國3,S,03F-230.6S,03F2306S,3,3.6,南投,南投服務區,23.906781,120.702828,C0I460
"LineString (120.70918600000000254 23.88203100000000134, 120.69543158196104571 23.90975234478779043)",國3,S,03F-233.6S,03F2336S,5.6,6.7,南投服務區,名間,23.882031,120.709186,C0I460
"LineString (120.70000299999999527 23.81483599999999967, 120.70142719291000333 23.83705093940067243)",國3,S,03F-241.5S,03F2415S,6.7,8,名間,竹山,23.814836,120.700003,C0I410
"LineString (120.70451900000000478 23.78748600000000124, 120.71082472747166037 23.79364979773396982)",國3,S,03F-244.7S,03F2447S,6.3,7.5,竹山,南雲,23.787486,120.704519,81H980
"LineString (120.62590000000000146 23.77558099999999897, 120.61251986172990769 23.75525439414139939)",國3,S,03F-253.5S,03F2535S,10.2,12.2,南雲,斗六,23.775581,120.6259,01J930
"LineString (120.60178600000000415 23.7244250000000001, 120.60961937887746842 23.74865444736106568)",國3,S,03F-261.4S,03F2614S,8.1,9.7,斗六,古坑(文化路)&古坑系統(連接台78),23.724425,120.601786,C0K470
"LineString (120.57295000000000584 23.64914200000000122, 120.55971227920508682 23.65435564706170624)",國3,S,03F-270.9S,03F2709S,2.1,2.5,古坑(文化路)&古坑系統(連接台78),古坑(朝陽路),23.649142,120.57295,C0K490
"LineString (120.55856699999999648 23.61820300000000117, 120.54851076105653362 23.63435593242448718)",國3,S,03F-274.7S,03F2747S,5.7,6.8,古坑(朝陽路),古坑服務區,23.618203,120.558567,A2K570
"LineString (120.53251099999999951 23.60679199999999867, 120.55560792741505338 23.58535482697824648)",國3,S,03F-277.7S,03F2777S,2.5,3,古坑服務區,梅山,23.606792,120.532511,C0M770
"LineString (120.50506099999999776 23.55812500000000043, 120.5209061273491784 23.5704564138979471)",國3,S,03F-284.0S,03F2840S,9.6,11.5,梅山,竹崎(竹崎連絡道),23.558125,120.505061,01L910
"LineString (120.48632800000000032 23.51168300000000144, 120.5205036584683711 23.53035583355474358)",國3,S,03F-289.9S,03F2899S,2,2.4,竹崎(竹崎連絡道),竹崎(159縣道),23.511683,120.486328,01L490
"LineString (120.49458599999999819 23.49207799999999935, 120.5205036584683711 23.53035583355474358)",國3,S,03F-292.3S,03F2923S,6.5,7.8,竹崎(159縣道),中埔,23.492078,120.494586,01L490
"LineString (120.48120000000000118 23.44248599999999882, 120.46049767884305481 23.45765786257494057)",國3,S,03F-298.5S,03F2985S,2.9,3.4,中埔,水上系統(連接台82),23.442486,120.4812,C0M730
"LineString (120.43635600000000352 23.36125300000000138, 120.41438979324877323 23.34745859625010311)",國3,S,03F-310.1S,03F3101S,11.3,13.5,水上系統(連接台82),白河,23.361253,120.436356,C0X210
"LineString (120.40416399999999442 23.29669200000000018, 120.38558596987350313 23.29655931931747403)",國3,S,03F-318.7S,03F3187S,8.1,9.7,白河,東山服務區,23.296692,120.404164,C0X050
"LineString (120.39025300000000129 23.279281000000001, 120.38558596987350313 23.29655931931747403)",國3,S,03F-321.1S,03F3211S,2.8,3.3,東山服務區,柳營,23.279281,120.390253,C0X050
"LineString (120.3673780000000022 23.24499399999999838, 120.37358328752823411 23.25725934833966235)",國3,S,03F-325.9S,03F3259S,7.1,8.5,柳營,烏山頭,23.244994,120.367378,C0X270
"LineString (120.35546100000000536 23.20327500000000143, 120.31557793270866341 23.19326136905791103)",國3,S,03F-330.7S,03F3307S,5.1,6.1,烏山頭,官田系統(連接台84),23.203275,120.355461,C0X130
"LineString (120.33371099999999387 23.13206399999999974, 120.36087464647694389 23.11885793506246145)",國3,S,03F-339.2S,03F3392S,5.3,6.3,官田系統(連接台84),善化,23.132064,120.333711,C0O860
"LineString (120.32903299999999547 23.08527199999999979, 120.36327212694645539 23.07565717146902173)",國3,S,03F-344.5S,03F3445S,6.7,8,善化,新化系統(連接國8),23.085272,120.329033,C0X180
"LineString (120.32517199999999491 23.04020300000000177, 120.33716847770378422 23.02575776456179923)",國3,S,03F-349.6S,03F3496S,10.1,12.1,新化系統(連接國8),關廟(連接台86),23.040203,120.325172,01O710
"LineString (120.34016400000000147 22.96975799999999879, 120.32776451514986604 22.96315731755561274)",國3,S,03F-358.8S,03F3588S,6.8,8.1,關廟(連接台86),關廟服務區,22.969758,120.340164,C0X170
"LineString (120.35476699999999539 22.90196900000000113, 120.32755977616591281 22.88315615009126702)",國3,S,03F-367.0S,03F3670S,5.7,6.8,關廟服務區,田寮,22.901969,120.354767,C0V530
"LineString (120.38542800000000454 22.84512199999999993, 120.39815739593171884 22.81185153807992805)",國3,S,03F-374.3S,03F3743S,13.5,16.2,田寮,燕巢系統(連接國10),22.845122,120.385428,01P390
"LineString (120.44183900000000165 22.76919699999999835, 120.44665433665241494 22.73854803720465156)",國3,S,03F-385.4S,03F3854S,7.9,9.4,燕巢系統(連接國10),九如,22.769197,120.441839,C0V350
"LineString (120.49683899999999426 22.74979199999999935, 120.49055557410429174 22.74054585279818141)",國3,S,03F-391.6S,03F3916S,9.2,11,九如,長治,22.749792,120.496839,C0R490
"LineString (120.56308599999999842 22.68277499999999947, 120.54265411731668678 22.69304255872115661)",國3,S,03F-401.8S,03F4018S,6.7,8,長治,麟洛,22.682775,120.563086,C0R480
"LineString (120.52616100000000188 22.57958599999999905, 120.5439478449920756 22.58484098241164872)",國3,S,03F-414.2S,03F4142S,7.3,8.7,麟洛,竹田系統(連接台88),22.579586,120.526161,C0R500
"LineString (120.52455799999999897 22.55718600000000151, 120.5400448166462013 22.53434047647370519)",國3,S,03F-416.8S,03F4168S,6.7,8,竹田系統(連接台88),崁頂,22.557186,120.524558,C0R220
"LineString (120.52577499999999588 22.50136699999999834, 120.51104286027231183 22.51324163257394773)",國3,S,03F-423.2S,03F4232S,2.4,2.8,崁頂,南州,22.501367,120.525775,O1R630
"LineString (120.53084400000000187 22.47466100000000111, 120.50274107140282354 22.48594166755822243)",國3,S,03F-426.3S,03F4263S,5.9,7,南州,林邊(大鵬灣端),22.474661,120.530844,C0R580
"LineString (121.698631000000006 25.12951400000000035, 121.74043595562432074 25.13331355324572769)",國3,N,03F-002.1N,03F0021N,2.3,2.7,瑪東系統(連接台62),基金,25.129514,121.698631,466940
